iter	Passed	Remaining
0	1	125
1	2	112
2	3	103
3	3	95
4	5	98
5	6	97
6	7	98
7	8	97
8	9	98
9	10	97
10	11	94
11	12	93
12	13	90
13	14	89
14	15	87
15	16	86
16	17	85
17	18	83
18	19	82
19	20	81
20	21	81
21	22	80
22	23	80
23	25	79
24	25	77
25	27	76
26	28	76
27	29	75
28	30	73
29	31	72
30	31	71
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	55	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	69	31
69	70	30
70	71	29
71	72	28
72	72	26
73	73	25
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	99	1
99	100	0
